,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
10,2020-05-24,The Modest Impact of Weather and Air Pollution on COVID-19 Transmission,https://doi.org/10.1101/2020.05.05.20092627,medrxiv,Ecological Regression,Ultraviolet exposure,Y,"At a low/moderate UV of 3, a unit higher UV decreased 𝑅 by 3.5% (0.4-6.4%). At a high UV of 10, a unit higher UV increased 𝑅 by 4% (1.8-6.3%).",locations: 3739,05/24/2020
11,2020-05-24,The Modest Impact of Weather and Air Pollution on COVID-19 Transmission,https://doi.org/10.1101/2020.05.05.20092627,medrxiv,Ecological Regression,O3,Y,"A one standard deviation increase in each increases 𝑅 by 1.4% (0.4-2.4%) for diurnal temperature, 1.3% (0.3-2.4%) for air pressure, 1.4% (0.4-2.5%) for log-transformed wind speed, 2.7% (1.7- 3.8%) for log-transformed precipitation, 2.4% (1.1-3.6%) for log-transformed O3, and 2.9% (1.1- 4.6%) for log-transformed SO2.",locations: 3739,05/24/2020
12,2020-05-24,The Modest Impact of Weather and Air Pollution on COVID-19 Transmission,https://doi.org/10.1101/2020.05.05.20092627,medrxiv,Ecological Regression,SO2,Y,"A one standard deviation increase in each increases 𝑅 by 1.4% (0.4-2.4%) for diurnal temperature, 1.3% (0.3-2.4%) for air pressure, 1.4% (0.4-2.5%) for log-transformed wind speed, 2.7% (1.7- 3.8%) for log-transformed precipitation, 2.4% (1.1-3.6%) for log-transformed O3, and 2.9% (1.1- 4.6%) for log-transformed SO2.",locations: 3739,05/24/2020
13,2020-05-21,"Higher Temperature, Pressure, and Ultraviolet Are Associated with Less COVID-19 Prevalence: Meta-Regression of Japanese Prefectural Data",https://doi.org/10.1101/2020.05.09.20096321,medrxiv,Meta-Regression,Air Temperature,Y,"A slope of the metaregression line was significantly negative for mean air temperature (coefficient, –0.134; P = 0.019; Figure 1, upper panel), mean sea level air pressure (coefficient, –0.351; P = 0.001; Figure 1, middle panel), and mean daily maximum UV index (coefficient, –0.908; P = 0.012; Figure 1, lower panel), which indicated that COVID-19 prevalence decreased significantly as air temperature, air pressure, and UV index increased.",countries: japan,05/24/2020
14,2020-05-21,"Higher Temperature, Pressure, and Ultraviolet Are Associated with Less COVID-19 Prevalence: Meta-Regression of Japanese Prefectural Data",https://doi.org/10.1101/2020.05.09.20096321,medrxiv,Meta-Regression,Air Pressure,Y,"A slope of the metaregression line was significantly negative for mean air temperature (coefficient, –0.134; P = 0.019; Figure 1, upper panel), mean sea level air pressure (coefficient, –0.351; P = 0.001; Figure 1, middle panel), and mean daily maximum UV index (coefficient, –0.908; P = 0.012; Figure 1, lower panel), which indicated that COVID-19 prevalence decreased significantly as air temperature, air pressure, and UV index increased.",countries: japan,05/24/2020
15,2020-05-21,"Higher Temperature, Pressure, and Ultraviolet Are Associated with Less COVID-19 Prevalence: Meta-Regression of Japanese Prefectural Data",https://doi.org/10.1101/2020.05.09.20096321,medrxiv,Meta-Regression,UV index,Y,"A slope of the metaregression line was significantly negative for mean air temperature (coefficient, –0.134; P = 0.019; Figure 1, upper panel), mean sea level air pressure (coefficient, –0.351; P = 0.001; Figure 1, middle panel), and mean daily maximum UV index (coefficient, –0.908; P = 0.012; Figure 1, lower panel), which indicated that COVID-19 prevalence decreased significantly as air temperature, air pressure, and UV index increased.",countries: japan,05/24/2020
16,2020-05-20,The Seasonal End of Human Coronavirus Hospital Admissions with Implications for SARS-CoV-2,https://doi.org/10.1101/2020.05.15.20103416,medrxiv,Ecological Regression,Relative Humidity,Y,"Reductions of annual coronavirus activity, as measured by hospital admissions, correlated with increases in indoor RH from 30% to 50%","countries: USA; cities: Boston, Philedelphia",05/31/2020
17,2020-05-18,Influence of wind and relative humidity on the social distancing effectiveness to prevent COVID-19 airborne transmission: A numerical study,https://doi.org/10.1016/j.jaerosci.2020.105585,Journal of Aerosol Science,Simulation,Relative Humidity,Y,"This is because the high RH (99.5%) enhances the hygroscopic growths of the droplets, while the low RH (40%) leads to droplet shrinkage due to the evaporation.",-,05/31/2020
18,2020-05-18,The effect of ambient temperature on worldwide COVID-19 cases and deaths - an epidemiological study,https://doi.org/10.1101/2020.05.15.20102798,medrxiv,Ecological Regression,Temperature,Y,The median temperature at the time of COVID-19 infection was 9.12°C (10-90th percentile 4.29-17.97°C) whilst the median temperature of the world population for the same period was 9.61°C warmer at 18.73°C (10-90th percentile 4.09-28.49°C) with a notional pvalue = 5.1 x10-11. The median temperature at the time of a COVID-19 death was 9.72°C (10-90th percentile 5.39-14.11°C) whilst the median temperature of the world population was 7.55°C warmer at 17.27°C (10-90th percentile 2.57°C-27.76°C) with a notional p-value = 1.1x10-10. 80% of all COVID-19 related cases and deaths occurred between 4.29°C and 17.97°C.,"cases: 1,605,788; deaths: 103,471",05/24/2020
19,2020-05-12,Statistical analysis of the impact of environmental temperature on the exponential growth rate of cases infected by COVID-,https://doi.org/10.1101/2020.04.21.20072405,medrxiv,Ecological Regression,Average Temperature,Y,"The critical temperature, which eliminates the exponential growth, and thus the COVID-19 spread in US regions, is estimated to be TC = 86.1 ± 4.3 F0.","countries: US, Italy",05/17/2020
20,2020-05-12,Temperature and relative humidity are not major contributing factor on the occurrence 2 of COVID-19 pandemic: An observational study in 57 countries (2020-05-08),https://doi.org/10.1101/2020.05.03.20089342,medrxiv,Ecological Regression,Daily Average Temperature,Y,"The analysis showed that 98.8% proportionate cases occurred between -0.50 C to 30 Cand, more restrictively, 93.5% cases occurred between 1C to 16C (Fig. 1).",countries: 57,05/31/2020
21,2020-05-12,Temperature and relative humidity are not major contributing factor on the occurrence 2 of COVID-19 pandemic: An observational study in 57 countries (2020-05-08),https://doi.org/10.1101/2020.05.03.20089342,medrxiv,Ecological Regression,Relative Humidity,N,The average relative humidity was also not correlated (R² = 0.0272) with the occurrence of COVID-19 in linear regression (Fig. 2).,countries: 57,05/31/2020
22,2020-05-08,"Does weather affect the growth rate of COVID-19, a study to comprehend transmission dynamics on human health",https://doi.org/10.1101/2020.04.29.20085795,medrxiv,Ecological Regression,Temperature,Y,Temperature is the most influential parameter that reduces the growth at the rate of 13-16 cases/day with a 1oC rise in temperature,countries: 20,05/17/2020
23,2020-05-08,"Does weather affect the growth rate of COVID-19, a study to comprehend transmission dynamics on human health",https://doi.org/10.1101/2020.04.29.20085795,medrxiv,Ecological Regression,Precipitation,N,-,countries: 20,05/17/2020
24,2020-05-08,"Does weather affect the growth rate of COVID-19, a study to comprehend transmission dynamics on human health",https://doi.org/10.1101/2020.04.29.20085795,medrxiv,Ecological Regression,Wind speed,N,-,countries: 20,05/17/2020
25,2020-05-08,"Does weather affect the growth rate of COVID-19, a study to comprehend transmission dynamics on human health",https://doi.org/10.1101/2020.04.29.20085795,medrxiv,Ecological Regression,Cloud cover,N,-,countries: 20,05/17/2020
26,2020-05-06,Effect of Temperature on the Transmission of COVID-19: A Machine Learning Case Study in Spain,https://doi.org/10.1101/2020.05.01.20087759,medrxiv,Ecological Regression,Average Temperature,Y,"a 1 °C increase in average temperature leads to a decrease of 194 daily positive cases (95% CI, 140 to 248).",countries: Spain; communities: 3,05/17/2020
27,2020-05-06,Effect of Temperature on the Transmission of COVID-19: A Machine Learning Case Study in Spain,https://doi.org/10.1101/2020.05.01.20087759,medrxiv,Ecological Regression,Humidity,N,-,countries: Spain; communities: 3,05/17/2020
28,2020-05-06,Effect of Temperature on the Transmission of COVID-19: A Machine Learning Case Study in Spain,https://doi.org/10.1101/2020.05.01.20087759,medrxiv,Ecological Regression,Wind speed,N,-,countries: Spain; communities: 3,05/17/2020
29,2020-05-05,Warmer weather and global trends in the coronavirus COVID-19,https://doi.org/10.1101/2020.04.28.20084004,medRxiv,Ecological Regression,Temperature,Y,"Our estimation showed that warmer weather after April will help slow down the outbreak in the 30°-60°N zone, but the natural extinction of COVID-19 is less likely in summer.",countries: globally; except china,05/17/2020
30,2020-05-03,Temperature Decreases Spread Parameters of the New Covid-19 Case Dynamics,https://doi.org/10.3390/biology9050094,PubMed,Ecological Regression,Mean Temperature,Y,"Results indicate that high temperatures diminish initial contagion rates, but seasonal temperature effects at later stages of the epidemy remain questionable",countries: 21; French administrative regions,05/24/2020
31,2020-04-28,Effects of temperature and humidity on the daily new cases and new deaths of COVID-19 in 166 countries,https://doi.org/10.1016/j.scitotenv.2020.139051,medrxiv,Ecological Regression,Relative Humidity,Y,"A 1% increase in relative humidity was associated with a 0.85% (95% CI: 0.51%, 1.19%) reduction in daily new cases and a 0.51% (95% CI: 0.34%, 0.67%) reduction in daily new deaths",countries: 166,05/17/2020
32,2020-04-28,Effects of temperature and humidity on the daily new cases and new deaths of COVID-19 in 166 countries,https://doi.org/10.1016/j.scitotenv.2020.139051,medrxiv,Ecological Regression,Temperature,Y,"A 1 °C increase in temperature was associated with a 3.08% (95% CI: 1.53%, 4.63%) reduction in daily new cases and a 1.19% (95% CI: 0.44%, 1.95%) reduction in daily new deaths",countries: 166,05/17/2020
33,2020-04-25,Temperature significantly changes COVID-19 transmission in (sub)tropical cities of Brazil,https://doi.org/10.1016/j.scitotenv.2020.138862,Science of The Total Environment,Ecological Regression,Temperature,Y,"When the average temperature was below 25.8°C, each 1°C rise was associated with a −4.8951% (t = −2.29, p = 0.0226) decrease in the number of daily cumulative confirmed cases of COVID-19 but not above 25.8°C",countries: Brazil; cities: 27,05/03/2020
34,2020-04-23,"Trends of SARS-Cov-2 infection in 67 countries: Role of climate zone, temperature, humidity and curve behavior of cumulative frequency on duplication time",https://doi.org/10.1101/2020.04.18.20070920,medRxiv,Ecological Regression,Temperature,Y,The larger Td in tropical/subtropical countries is positively related to DFC and temperature.,countries: 67,05/03/2020
35,2020-04-23,"Trends of SARS-Cov-2 infection in 67 countries: Role of climate zone, temperature, humidity and curve behavior of cumulative frequency on duplication time",https://doi.org/10.1101/2020.04.18.20070920,medRxiv,Ecological Regression,Ambient Humidity,N,-,countries: 67,05/03/2020
36,2020-04-23,"Trends of SARS-Cov-2 infection in 67 countries: Role of climate zone, temperature, humidity and curve behavior of cumulative frequency on duplication time",https://doi.org/10.1101/2020.04.18.20070920,medRxiv,Ecological Regression,Climate Area,N,-,countries: 67,05/03/2020
37,2020-04-23,Climatic factors influence COVID-19 outbreak as revealed by worldwide mortality,https://doi.org/10.1101/2020.04.20.20072934,medRxiv,Ecological Regression,Temperature,Y,"Each additional Celsius degree decreases mortality rate by ~4%, while a 1% increase in relative humidity raises mortality rate by ~2%. Temperature is positively correlated with UV-index, for which one unit of increase results in a ~15% decrease in the mortality rate.",countries: 88,05/03/2020
38,2020-04-23,Climatic factors influence COVID-19 outbreak as revealed by worldwide mortality,https://doi.org/10.1101/2020.04.20.20072934,medRxiv,Ecological Regression,Humidity,Y,"Each additional Celsius degree decreases mortality rate by ~4%, while a 1% increase in relative humidity raises mortality rate by ~2%. Temperature is positively correlated with UV-index, for which one unit of increase results in a ~15% decrease in the mortality rate.",countries: 88,05/03/2020
39,2020-04-23,Climatic factors influence COVID-19 outbreak as revealed by worldwide mortality,https://doi.org/10.1101/2020.04.20.20072934,medRxiv,Ecological Regression,UV-index,Y,"Each additional Celsius degree decreases mortality rate by ~4%, while a 1% increase in relative humidity raises mortality rate by ~2%. Temperature is positively correlated with UV-index, for which one unit of increase results in a ~15% decrease in the mortality rate.",countries: 88,05/03/2020
40,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRxiv,Systemic review,UV light,Y,"Ultraviolet (UV) light had the strongest and most significant effect of tested meteorological variables on COVID-19 growth (βUV = -0.44, 95% credible intervals (Cis): -0.53, -0.36)",countries: 128; 98 provinces,05/03/2020
41,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRxiv,Systemic review,Temperature,Y,"Contrary to predictions, temperature positively affected COVID-19 growth rate (βtemp = 0.23, 95% CIs: 0.15, 0.32), although this is conditional on accounting for UV in the model",countries: 128; 98 provinces,05/03/2020
42,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRxiv,Systemic review,Humidity,N,"As expected, relative humidity decreased growth rates, although not significantly, either by reducing the virus’ survival outside humans or reducing airborne transmission (βhumid = -0.05, 95% CIs: -0.11, 0.00)",countries: 128; 98 provinces,05/03/2020
43,2020-04-22,The most eagerly awaited summer of the Anthropocene: A perspective of SARS-CoV-2 decay and seasonal change,https://doi.org/10.1016/j.gsd.2020.100400,medrxiv,Systemic Review,Temperature,Y,COVID will not endure high temperature and humidity of the (Indian/Tropical) summer.,-,05/03/2020
44,2020-04-22,The most eagerly awaited summer of the Anthropocene: A perspective of SARS-CoV-2 decay and seasonal change,https://doi.org/10.1016/j.gsd.2020.100400,medrxiv,Systemic Review,Humidity,Y,COVID will not endure high temperature and humidity of the (Indian/Tropical) summer.,-,05/03/2020
45,2020-04-18,Meteorological factors and domestic new cases of coronavirus disease (COVID-19) in nine Asian cities: A time-series analysis,https://doi.org/10.1101/2020.04.15.20066613,medRxiv,Time-series analysis,None,-,The associations between meteorological factors and the number of COVID-19 daily cases are inconsistent across cities and lagged time.,cities: 9,05/03/2020
46,2020-04-17,Effects of temperature and humidity on the spread of COVID-19: A systematic review,https://doi.org/10.1101/2020.04.14.20064923,medrxiv,Systemic Review,Temperature,Y,warm and wet climates seem to reduce the spread of COVID-19,-,05/03/2020
47,2020-04-17,Effects of temperature and humidity on the spread of COVID-19: A systematic review,https://doi.org/10.1101/2020.04.14.20064923,medrxiv,Systemic Review,Humidity,Y,warm and wet climates seem to reduce the spread of COVID-19,-,05/03/2020
48,2020-04-14,Relationship between Average Daily Temperature and Average Cumulative Daily Rate of Confirmed Cases of COVID-19,https://doi.org/10.1101/2020.04.10.20059337,medrxiv,Ecological Regression,Average daily temperature,Y,"We found that when there is a significant difference in the daily mean temperature between two regions of a country, a significant difference exists also in the average cumulative daily rate of confirmed cases.",countries: 5,05/03/2020
49,2020-04-12,"Evidence that higher temperatures are associated with lower incidence of COVID-19 in pandemic state, cumulative cases reported up to March 27, 2020",https://doi.org/10.1101/2020.04.02.20051524,medrxiv,Ecological Regression,Temperature,Y,"Modeling of case data reported March 27, 2020, as predicted by temperature, indicated a strong regional-level correlation between COVID-19 case rates and mean maximum surface air temperatures below 22.5oC.",countries: globally,05/03/2020
50,2020-04-09,Climatic influences on the worldwide spread of SARS-CoV-2,https://doi.org/10.1101/2020.03.19.20038158,medRxiv,Simulation,Climate,Y,asynchronous seasonal global outbreaks are expected,countries: globally,04/06/2020
51,2020-04-07,Susceptible supply limits the role of climate in the COVID-19 pandemic,https://doi.org/10.1101/2020.04.03.20052787,medRxiv,Simulation,Specific Humidity,N,summer temperatures will not substantially limit pandemic growth.,countries: USA,04/06/2020
52,2020-04-07,Susceptible supply limits the role of climate in the COVID-19 pandemic,https://doi.org/10.1101/2020.04.03.20052787,medRxiv,Simulation,Climate,N,summer temperatures will not substantially limit pandemic growth.,countries: USA,04/06/2020
53,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,temperature minimum (°C),Y,only temperature average (°C) was significantly correlated with covid-19 pandemic (r = 0.392; p < .01).,cases: 678,04/15/2020
54,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,temperature maximum (°C),Y,only temperature average (°C) was significantly correlated with covid-19 pandemic (r = 0.392; p < .01).,cases: 678,04/15/2020
55,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,temperature average (°C),Y,only temperature average (°C) was significantly correlated with covid-19 pandemic (r = 0.392; p < .01).,cases: 678,04/15/2020
56,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,humidity (%),N,-,cases: 678,04/15/2020
57,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,amount of Rainfall (mm),N,-,cases: 678,04/15/2020
58,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average pressure,Y,"the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",cases: 67773,04/12/2020
59,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average temperature,Y,"the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",cases: 67773,04/12/2020
60,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Minimum temperature,Y,"the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",cases: 67773,04/12/2020
61,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average water vapor pressure,Y,"the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",cases: 67773,04/12/2020
62,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Maximum Temperature,N,-,cases: 67773,04/12/2020
63,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average water temperature pressure,N,-,cases: 67773,04/12/2020
64,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average relative humidity,N,-,cases: 67773,04/12/2020
65,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average windspeed,N,-,cases: 67773,04/12/2020
66,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Precipitation,N,-,cases: 67773,04/12/2020
67,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Total Solar Radiation,N,-,cases: 67773,04/12/2020
68,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Maximum Solar Irradiance,N,-,cases: 67773,04/12/2020
69,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRxiv,Eco-epidemiological Study,Temperature,Y,"brighter, warmer and drier conditions were associated with lower incidence",cases: 18069,04/06/2020
70,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRxiv,Eco-epidemiological Study,Solar Radiation,Y,"brighter, warmer and drier conditions were associated with lower incidence",cases: 18069,04/06/2020
71,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRxiv,Eco-epidemiological Study,Population Density,N,-,cases: 18069,04/06/2020
72,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRxiv,Eco-epidemiological Study,Precipitation,N,-,cases: 18069,04/06/2020
73,2020-03-31,"Temperature, humidity, and wind speed are associated with lower Covid-19 incidence",https://doi.org/10.1101/2020.03.27.20045658,medrxiv,Ecological Regression,Temperature,Y,Cold and dry environments are more favourable condition for virus survival,countries: 116,04/12/2020
74,2020-03-31,"Temperature, humidity, and wind speed are associated with lower Covid-19 incidence",https://doi.org/10.1101/2020.03.27.20045658,medrxiv,Ecological Regression,Humidity,Y,Cold and dry environments are more favourable condition for virus survival,countries: 117,04/12/2020
75,2020-03-31,"Temperature, humidity, and wind speed are associated with lower Covid-19 incidence",https://doi.org/10.1101/2020.03.27.20045658,medrxiv,Ecological Regression,Windspeed,N,-,countries: 118,04/12/2020
76,2020-03-31,No Evidence for Temperature-Dependence of the COVID-19 Epidemic,https://doi.org/10.1101/2020.03.29.20046706,medrxiv,Ecological Regression,Temperature,N,no evidence that spread rates decline with temperatures above 20 oC,countries: globally,04/08/2020
77,2020-03-30,Climate effect on COVID-19 spread rate: an online surveillance tool,https://doi.org/10.1101/2020.03.26.20044727,medRxiv,Retrospective Study,Temperature,Y,"In all countries (independent of climate classification) both RR and RoS displayed a moderate negative correlation with temperature R= -0.69, 95% confidence interval [CI], -0.87 to -0.36; P<0.001 and R= -0.72, 95% confidence interval [CI], -0.87 to -0.36; P<0.001, respectively.",countries: 24,04/06/2020
78,2020-03-30,Climate effect on COVID-19 spread rate: an online surveillance tool,https://doi.org/10.1101/2020.03.26.20044727,medRxiv,Retrospective Study,Humidity,N,-,countries: 20,04/06/2020
79,2020-03-30,Climate effect on COVID-19 spread rate: an online surveillance tool,https://doi.org/10.1101/2020.03.26.20044727,medRxiv,Retrospective Study,Rainfall,N,-,countries: 20,04/06/2020
80,2020-03-30,Climate effect on COVID-19 spread rate: an online surveillance tool,https://doi.org/10.1101/2020.03.26.20044727,medRxiv,Retrospective Study,Windspeed,N,-,countries: 20,04/06/2020
81,2020-03-30,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medRxiv,Simulation,Temperature,Y,"1C increase in local temperature reduces new COVID-19 cases per 1 million people by 13%, with a 95% confidence interval of [-21%, -4%]",cases: 166686,04/06/2020
82,2020-03-30,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medRxiv,Simulation,Precipation,N,-,cases: 166686,04/06/2020
83,2020-03-30,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medRxiv,Simulation,Humidity,N,-,cases: 166686,04/06/2020
84,2020-03-30,Temperature dependence of COVID-19 transmission,https://doi.org/10.1101/2020.03.26.20044529,medRxiv,Retrospective Study,Average Temperature,Y,"We find increasing evidence in the three datasets for a decreasing growth rate as a function of T, at 99.66%C.L., 99.86%C.L. and 99.99995% C.L. (p-value 5 · 10−7, or 5σ detection) in the base, intermediate and extended dataset, respectively.",countries: 255,04/06/2020
